,Ligand A,Ligand B,LOMAP Score,Ligand A IC50 (nM),Ligand A IC50 SD (nM),Ligand B IC50 (nM),Ligand B IC50 SD (nM),Ligand A dG (kcal/mol),Ligand A dG SD (kcal/mol),Ligand B dG (kcal/mol),Ligand B SD dG (kcal/mol),ddG (kcal/mol),ddG SD (kcal/mol),R Group
0,ligand_16,ligand_13,0.24659696394160643,70.0,17.0,2900.0,890.0,-9.756359146298033,0.2935039166616775,-7.551023653979526,0.3755917740972281,2.2053354923185067,0.47666941360365067,R2
1,ligand_2,ligand_10,0.8187307530779818,120.0,11.0,930.0,0.0,-9.437165418564136,0.10887563894362451,-8.224521716723231,0.0,1.2126437018409053,0.10887563894362451,R3-R1
2,ligand_13,ligand_15,0.9048374180359595,2900.0,890.0,620.0,190.0,-7.551023653979526,0.3755917740972281,-8.464638153744888,0.375010080883289,-0.9136144997653615,0.5307558210077343,R2
3,ligand_7,ligand_4,0.522045776761016,2300.0,610.0,710.0,240.0,-7.688296569824274,0.3218160198415134,-8.384368113384722,0.41674848547314447,-0.6960715435604481,0.526540455018219,R1
4,ligand_3,ligand_2,0.8187307530779817,510.0,240.0,120.0,11.0,-8.580299996869243,0.6050218687884392,-9.437165418564136,0.10887563894362451,-0.8568654216948932,0.6147400804141844,R1
5,ligand_24,ligand_25,0.6703200460356392,320.0,62.0,67.0,17.0,-8.856318334930592,0.23241541822623368,-9.782299059436333,0.30722968446046295,-0.9259807245057416,0.3852362984493423,R2
6,ligand_7,ligand_9,0.5488116360940264,2300.0,610.0,830.0,280.0,-7.688296569824274,0.3218160198415134,-8.291889728631444,0.41584107292249506,-0.6035931588071701,0.5258225447391593,R1
7,ligand_1,ligand_7,0.8607079764250578,1710.0,640.0,2300.0,610.0,-7.8638339784077145,0.46591730570782985,-7.688296569824274,0.3218160198415134,0.17553740858344025,0.5662547892818892,R1
8,ligand_25,ligand_13,0.27253179303401254,67.0,17.0,2900.0,890.0,-9.782299059436333,0.30722968446046295,-7.551023653979526,0.3755917740972281,2.231275405456807,0.48524144483254816,R2
9,ligand_1,ligand_5,0.5488116360940264,1710.0,640.0,2900.0,1100.0,-7.8638339784077145,0.46591730570782985,-7.551023653979526,0.4728762577001646,0.3128103244281881,0.6638455323752325,R1
10,ligand_1,ligand_3,0.7408182206817179,1710.0,640.0,510.0,240.0,-7.8638339784077145,0.46591730570782985,-8.580299996869243,0.6050218687884392,-0.7164660184615288,0.7636297515617754,R1
11,ligand_16,ligand_26,0.951229424500714,70.0,17.0,120.0,43.0,-9.756359146298033,0.2935039166616775,-9.437165418564136,0.4441172980960122,0.31919372773389654,0.5323389179496902,R2
